"business_id","name","address","city","state","stars","categories","price","restaurant_stars","bar_stars","food_stars","cafe_stars","movie_theater_stars","lodging_stars","night_club_stars","parking","bus_station","transit_station","university"
"01hHIKQBwJL-GcjpGuBrLA","Bonitas","4920 W Thunderbird Ave
Ste 100
Glendale, AZ 85306","Glendale","AZ",4,"['Mexican', 'Restaurants']",1,3.65833333333333,4.3,3.62857142857143,4.9,-1,-1,-1,1,7,7,2
"0_3hrGrrP-J5eeHRwQfZ6w","Macayo's Mexican Kitchen","1909 W Thunderbird Rd
Phoenix, AZ 85023","Phoenix","AZ",3,"['Mexican', 'Restaurants']",2,3.725,-1,3.75714285714286,4.4,-1,-1,-1,0,10,10,0
"04HakCR6gEeRYNAoKxkppQ","Hacienda Restaurant","1602 E Mcdowell Rd
Phoenix, AZ 85006","Phoenix","AZ",3,"['Mexican', 'Restaurants']",1,4,4.1,4.16363636363636,4.6,-1,-1,4,0,11,11,0
"04MB_bGvE_XPx2cd-k4b1g","Alfonso's Mexican Food","3140 S Gilbert Rd
Ste H3
Chandler, AZ 85286","Chandler","AZ",3.5,"['Mexican', 'Restaurants']",1,4.26666666666667,-1,4.26666666666667,-1,-1,-1,-1,0,0,0,0
"06kfoeRs9Acj82Yl3i9p_w","Wildflower Bread Company","3425 E Baseline Rd
Ste 101
Gilbert, AZ 85234","Gilbert","AZ",4.5,"['Soup', 'American (Traditional)', 'Sandwiches', 'Restaurants']",2,3.86785714285714,4.3,3.92941176470588,4.06,-1,-1,-1,0,0,0,0
"06YP_JnJzns84fOyQ0HA0Q","Playas Del Novilleros","6845 S Central Ave
Phoenix, AZ 85042","Phoenix","AZ",4,"['Seafood', 'Restaurants']",3,3.97142857142857,-1,3.98,-1,-1,-1,-1,0,4,4,0
"08eBj_o6oTncJR0ylM8qSg","Rice Garden","8053 E Indian School Rd
Scottsdale, AZ 85251","Scottsdale","AZ",3.5,"['Fast Food', 'Asian Fusion', 'Chinese', 'Restaurants']",1,2.6,-1,3.025,-1,-1,-1,-1,0,7,7,0
"08In-bFs8JOmSTDlQ0BfFw","Chuck E Cheese's Pizza","4825 E Warner Rd
Phoenix, AZ 85044","Phoenix","AZ",3,"['Pizza', 'Restaurants']",2,3.83125,4,3.82777777777778,3.8,-1,-1,4.6,0,6,6,0
"09dr3kXV8Ff42Ur3mCh3LA","Peter Piper Pizza","4940 E Ray Rd
Chandler, AZ 85044","Chandler","AZ",3.5,"['Pizza', 'Buffets', 'Restaurants']",2,3.73684210526316,3.775,3.80869565217391,-1,3.9,3.76666666666667,-1,1,9,9,0
"09H5iBjLtJCVl76WLW_a9w","Toscana Osteria","19420 N 59th Ave
Glendale, AZ 85308","Glendale","AZ",4,"['Restaurants', 'Italian']",2,3.88888888888889,4,4.01818181818182,4.3,-1,-1,-1,0,2,2,7
"0A3i-c0_V4temKZ4BK3r2w","Table 49","4949 S Alma School Rd
Chandler, AZ 85248","Chandler","AZ",3,"['American (New)', 'Restaurants']",2,3.87142857142857,4.5,3.81111111111111,3.9,-1,-1,-1,0,1,1,0
"0aKii4YS6MYZlPCsKPaF5w","Garbanzo Mediterranean Grill","Desert Ridge
21001 N Tatum Blvd, Ste 36-1210
Phoenix, AZ 85050","Phoenix","AZ",3.5,"['Mediterranean', 'Restaurants']",1,3.93333333333333,3.78333333333333,3.88571428571429,3.93333333333333,4.5,4.1,4.6,1,7,7,0
"0ANCSsUU-kJijIe335ITpw","Adela's Italian","4041 E Thomas Rd
Ste 107
Phoenix, AZ 85018","Phoenix","AZ",4.5,"['Restaurants', 'Italian']",2,3.69333333333333,3.95,3.70625,3.4,-1,-1,-1,0,6,6,2
"0Apb1P7RzbQEkeJDuywlPQ","George & Dragon II English Restaurant Pub","4230 S 48th St
Phoenix, AZ 85040","Phoenix","AZ",2,"['Pubs', 'Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']",2,3.66666666666667,4.3,3.67,-1,-1,4.5,-1,2,3,3,2
"0AZiq_OMKs3I9lTmwd5PSg","Tommy V's Osteria and Pizzeria","3225 E Camelback Rd
Phoenix, AZ 85018","Phoenix","AZ",3.5,"['Restaurants', 'Italian']",2,4.17,4.2,4.25,4.5,-1,-1,-1,0,6,6,0
"0bIAt8OIgdBh-cl5t0E3pg","Tacos & Tequilas","19401 N Cave Creek Rd Ste 15-16
Phoenix, AZ 85024","Phoenix","AZ",3.5,"['Mexican', 'Restaurants']",2,3.6,-1,3.6,-1,-1,-1,-1,0,4,4,0
"0BpMvu5B9fY-KEbOuxLtFQ","Sushi Ave","2945 E Bell Rd
Ste 102
Phoenix, AZ 85032","Phoenix","AZ",3.5,"['Sushi Bars', 'Japanese', 'Restaurants']",2,3.78333333333333,3.93333333333333,3.92857142857143,4.8,-1,-1,-1,0,5,5,0
"0bQKW7e23wTJxgvs_p2HjQ","Shish Kabobs & Gyros","9619 N Hayden Rd
Ste 106
Scottsdale, AZ 85258","Scottsdale","AZ",4,"['Greek', 'Vegetarian', 'Vietnamese', 'Restaurants']",1,4.44,-1,4.44,4.8,-1,-1,-1,0,0,0,0
"0bQxDsdQ50AKVb8yvsyPeQ","All American Modern Sports Grill","20751 N Pima Rd
Scottsdale, AZ 85255","Scottsdale","AZ",3.5,"['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']",3,4.325,4.4,4.28,-1,-1,-1,-1,0,0,0,0
"-0bUDim5OGuv8R0Qqq6J4A","IHOP","7023 N 19th Ave
Phoenix, AZ 85021","Phoenix","AZ",2,"['Bakeries', 'Food', 'Breakfast & Brunch', 'Restaurants']",1,4.04285714285714,4,4.13,-1,-1,-1,-1,0,6,7,0
"0BXtWaDWN6Lh7T8mbbZniw","Pizza & Krispy Krunchy Chicken","4105 E Mcdowell Rd
Phoenix, AZ 85008","Phoenix","AZ",2.5,"['Fast Food', 'Pizza', 'Restaurants']",2,3.86666666666667,4.15,3.66,-1,-1,-1,-1,0,7,7,0
"0db71MbrvcJnyk71COCJBg","Great Wall Cuisine","5057 N 35th Ave
Phoenix, AZ 85017","Phoenix","AZ",3.5,"['Cantonese', 'Dim Sum', 'Chinese', 'Restaurants']",2,4.05,-1,4.11818181818182,-1,-1,-1,-1,1,11,11,5
"0De3TQ_uSOXwgduKL0va3w","Sonic Drive-In","748 E Mcdowell Rd
Phoenix, AZ 85006","Phoenix","AZ",3.5,"['Fast Food', 'Restaurants']",1,3.68888888888889,-1,3.68,3.95,-1,-1,-1,1,10,10,0
"0dIChGWBs9ueUXl0hhkw2w","Crazy Jim's","4041 N 15th Ave
Phoenix, AZ 85015","Phoenix","AZ",4,"['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']",2,3.3,-1,3.3,-1,-1,4.9,-1,0,11,11,0
"0dORc6ckZw5HezR3BuSsqw","Green New American Vegetarian","2022 N 7th St
Phoenix, AZ 85004","Phoenix","AZ",4.5,"['Vegetarian', 'Vegan', 'Restaurants']",2,3.90833333333333,4.03333333333333,3.94666666666667,4.375,-1,-1,-1,0,13,13,0
"0DvsBDG0CEwIK8uQxUGiOQ","Red Bird Cafe","1533 W Elliot Rd
Gilbert, AZ 85233","Gilbert","AZ",4,"['Burgers', 'Restaurants']",1,3.73333333333333,-1,3.77142857142857,3.6,-1,-1,-1,0,4,4,0
"0EBR4wDqtkbMC-wghpctEg","Samurai Sam's","550 West Bell Road #102
Phoenix, AZ 85023","Phoenix","AZ",3,"['Japanese', 'Restaurants']",1,3.3,-1,3.73333333333333,-1,-1,-1,-1,0,4,4,0
"0f4IQo7Odn7nvvO4TCAGAw","Carl's Jr","2985 S Alma School Rd
Chandler, AZ 85286","Chandler","AZ",2,"['Fast Food', 'Restaurants']",NA,3.63478260869565,3.05,3.775,4.36666666666667,-1,-1,-1,0,0,0,0
"0gQrhOYWdO0XVZEKtOrvaA","Red Devil Italian Restaurant & Pizzeria","3004 E Bell Rd
Phoenix, AZ 85032","Phoenix","AZ",4,"['Restaurants', 'Pizza', 'Italian']",2,3.54444444444444,3.93333333333333,3.67,4.8,-1,-1,-1,0,12,12,0
"0HDCJO7QbEErtnTt4_aimQ","Muffin But The Best Cafe","15414 N 19th Ave
Ste C
Phoenix, AZ 85023","Phoenix","AZ",4,"['Breakfast & Brunch', 'Cafes', 'American (New)', 'Restaurants']",1,4.7,-1,4.7,-1,-1,-1,-1,0,10,10,0
"0HDkCZtCvua-Wahio1-pBw","Two Hippies Groovy Beach House","15044 N Cave Creek Rd
Ste 6
Phoenix, AZ 85032","Phoenix","AZ",4,"['Hot Dogs', 'Mexican', 'Gluten-Free', 'Restaurants']",1,4.2,-1,4.2,-1,-1,-1,-1,0,6,6,0
"-0HGqwlfw3I8nkJyMHxAsQ","McDonald's","4750 E Warner Rd
Phoenix, AZ 85044","Phoenix","AZ",3,"['Burgers', 'Fast Food', 'Restaurants']",1,3.83125,4,3.82777777777778,3.8,-1,-1,4.6,0,4,4,0
"0hY0qoXHcI3czshcrZPpYg","Del Taco","15229 N 35th Ave
Phoenix, AZ 85053","Phoenix","AZ",3,"['Mexican', 'Restaurants']",1,3.70833333333333,3.9,3.77857142857143,-1,-1,-1,4.1,0,10,10,0
"0idZ5QJ_divjmPyDzqktZA","Masa Sushi","865 N Gilbert Rd
Ste 106
Gilbert, AZ 85234","Gilbert","AZ",4,"['Sushi Bars', 'Japanese', 'Restaurants']",2,4.1,-1,4.14,4.7,-1,-1,-1,0,5,5,0
"0ieEqGInYunNBaBzg8j_WQ","Slices","21001 N Tatum Blvd
Phoenix, AZ 85050","Phoenix","AZ",3.5,"['Pizza', 'Restaurants']",1,3.796,3.72,3.8,3.85,4,-1,-1,0,4,4,0
"0JFKxuixFnJen6MwOCi8Lg","Church's Chicken","817 N Arizona Ave
Chandler, AZ 85225","Chandler","AZ",2,"['Fast Food', 'Restaurants']",1,3.37777777777778,-1,3.63846153846154,4.5,-1,3.4,-1,0,6,6,0
"0Jouvs4G3d6CcG3pYGZ20A","Lunch Box","2539 W Bethany Home Rd
Phoenix, AZ 85017","Phoenix","AZ",2.5,"['Breakfast & Brunch', 'Mexican', 'Diners', 'Restaurants']",2,3.70769230769231,4.45,3.72857142857143,3.4,-1,-1,4.2,0,11,11,0
"0JS32I8PvxfVIAqS77jcGA","Chipotle Mexican Grill","7700 W Arrowhead Towne Center Dr
Glendale, AZ 85308","Glendale","AZ",4,"['Fast Food', 'Mexican', 'Restaurants']",NA,4.04615384615385,3.95,4.05882352941176,3.9,-1,3.55,4.1,1,13,13,0
"0K35eGvzVRZEirNo5v_WfA","Ajo Al's Mexican Cafe","5101 N 16th St
Phoenix, AZ 85016","Phoenix","AZ",3.5,"['Mexican', 'Restaurants']",2,3.78571428571429,-1,3.84,4.03333333333333,-1,3.1,-1,0,12,12,0
