business_id,restaurant,bar,shopping_mall,food,cafe,grocery_or_supermarket,movie_theater,lodging,night_club,parking,bus_station,subway_station,transit_station,university,school,restaurant_min,restaurant_avg,restaurant_max,bar_min,bar_avg,bar_max,food_min,food_avg,food_max,cafe_min,cafe_avg,cafe_max,movie_theater_min,movie_theater_avg,movie_theater_max,lodging_min,lodging_avg,lodging_max,night_club_min,night_club_avg,night_club_max
x5Mv61CnZLohZWxfCVCPTQ,27,3,1,39,6,0,0,4,0,2,8,0,8,2,7,2.4,3.808333333333334,4.4,4.1,4.233333333333333,4.4,2.4,3.837037037037038,4.4,3.4,3.94,4.3,-1,-1,-1,3.9,4.1000000000000005,4.4,-1,-1,-1
2ZnCITVa0abGce4gZ6RhIw,9,2,0,14,3,0,0,2,0,2,9,0,9,1,6,3.2,3.8600000000000003,4.5,3.6,3.9000000000000004,4.2,2.5,3.7142857142857144,4.5,4.2,4.2,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
EmzaQR5hQlF0WIl24NxAZA,60,35,3,60,19,3,0,12,11,22,13,0,17,23,5,2.2,3.77,4.5,2.7,3.912,4.5,2.9,3.836734693877551,4.5,3.4,3.888888888888889,4.5,-1,-1,-1,3.5,4.128571428571428,4.5,2.7,3.75,4.4
KPoTixdjoJxSqRSEApSAGg,24,4,0,34,4,0,0,3,0,2,7,0,8,2,8,2.4,3.755,4.5,4.1,4.333333333333333,4.5,2.4,3.7809523809523813,4.5,3.4,3.8499999999999996,4.3,-1,-1,-1,4,4.2,4.4,-1,-1,-1
7Z7IkR_-94AjUuDw0fbI7g,12,0,0,18,4,1,0,1,0,1,10,0,10,0,11,2.7,3.59,4.7,-1,-1,-1,2.7,3.641666666666667,4.7,3.2,4.033333333333334,4.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
e5kc0CQ4R-PCCDgb274gSg,55,22,3,60,18,3,1,9,5,10,23,0,24,42,13,2.3,3.7947368421052627,4.9,2.7,3.857142857142857,4.5,2.3,3.8441860465116267,4.9,3.5,4.041666666666667,4.7,4.2,4.2,4.2,3.9,4.216666666666668,4.5,2.7,2.95,3.2
gBcpDl0quCLABsg5OuSFww,42,9,2,55,9,3,0,4,1,14,14,0,16,27,4,2.2,3.7363636363636363,4.7,3.1,3.816666666666667,4.2,2.2,3.796153846153847,4.7,3.6,3.9333333333333336,4.4,-1,-1,-1,3.8,3.9499999999999997,4.1,-1,-1,-1
72N6TdH5MdUWE2YhYRbyxw,26,4,0,35,4,0,0,2,0,0,7,0,9,2,8,2.4,3.755,4.5,4.1,4.333333333333333,4.5,2.4,3.7809523809523813,4.5,3.4,3.8499999999999996,4.3,-1,-1,-1,4,4.2,4.4,-1,-1,-1
eOgUKCy5-sK-leqIBiNokg,60,32,2,60,21,3,0,14,11,20,16,0,20,6,8,2.9,3.8450980392156864,4.9,2.7,3.9130434782608696,4.5,2.9,3.842,4.5,3.4,3.888888888888889,4.5,-1,-1,-1,3.5,4.128571428571428,4.5,2.7,3.75,4.4
idzmPD7WYHoUjhLLKwtS8Q,3,0,0,10,0,1,0,0,0,0,11,0,11,1,0,2.7,3.7,4.7,-1,-1,-1,2.7,4.0249999999999995,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
neGAQFkBNI8-rpPBLBzNkw,11,2,0,17,3,1,0,1,0,1,14,0,14,0,13,2.7,3.4777777777777774,4.6,3.6,4.1,4.6,2.5,3.466666666666667,4.6,3.2,3.7,4.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
45puCRQ6Vh_IIAy7kkfFDQ,60,34,3,60,19,3,0,12,9,22,13,0,17,30,6,2.2,3.7755102040816326,4.5,2.7,3.891666666666667,4.5,2.9,3.8354166666666667,4.5,3.4,3.888888888888889,4.5,-1,-1,-1,3.5,4.128571428571428,4.5,2.7,3.62,4.4
nc3IiY5LNdmEwUZCW84yuA,55,22,3,60,18,3,1,9,5,10,23,0,24,42,13,2.3,3.7947368421052627,4.9,2.7,3.857142857142857,4.5,2.3,3.8441860465116275,4.9,3.5,4.041666666666667,4.7,4.2,4.2,4.2,3.9,4.216666666666668,4.5,2.7,2.95,3.2
P7wKlbSRsoRrfH3DFOY08A,26,4,0,34,4,0,0,1,0,0,4,0,5,3,9,2.4,3.755,4.5,4.1,4.333333333333333,4.5,2.4,3.7809523809523813,4.5,3.4,3.8499999999999996,4.3,-1,-1,-1,4.4,4.4,4.4,-1,-1,-1
