"business_id","name","latitude","longitude","categoies"
"x5Mv61CnZLohZWxfCVCPTQ","Domino's Pizza","33.4794817","-112.0736806","['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants']"
"2ZnCITVa0abGce4gZ6RhIw","Viad Tower Restaurants","33.4685474","-112.0750849","['American (New)', 'Sandwiches', 'Restaurants']"
"EmzaQR5hQlF0WIl24NxAZA","Sky Lounge","33.4483992","-112.0717019","['American (New)', 'Nightlife', 'Dance Clubs', 'Restaurants']"
"KPoTixdjoJxSqRSEApSAGg","Wild Thaiger","33.477939","-112.073417","['Thai', 'Restaurants']"
"e5kc0CQ4R-PCCDgb274gSg","Canyon Cafe","33.4521542","-112.0686202","['Cafes', 'Mexican', 'Tex-Mex', 'Restaurants']"
"gBcpDl0quCLABsg5OuSFww","Teeter House Tea Room","33.4492979","-112.0655423","['Food', 'Tea Rooms', 'Breakfast & Brunch', 'Sandwiches', 'Restaurants']"
"72N6TdH5MdUWE2YhYRbyxw","Burger King","33.47626","-112.074248","['Burgers', 'Restaurants']"
"eOgUKCy5-sK-leqIBiNokg","Copper Square Cafe","33.4484911","-112.0744277","['Cafes', 'Restaurants']"
"neGAQFkBNI8-rpPBLBzNkw","Taco Bell","33.46544","-112.06909","['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
"45puCRQ6Vh_IIAy7kkfFDQ","Majerle's Sports Grill","33.4484654","-112.0712574","['Bars', 'Restaurants', 'American (Traditional)', 'Sports Bars', 'Nightlife']"
"nc3IiY5LNdmEwUZCW84yuA","Pizzeria Uno","33.4521542","-112.0686202","['Pizza', 'Restaurants']"
"P7wKlbSRsoRrfH3DFOY08A","International House of Pancakes","33.475583","-112.074115","['Breakfast & Brunch', 'Restaurants']"
"BESmH-lmMm34_EefL8X9fQ","Comedor Guadalajara","33.429424","-112.073929","['Mexican', 'Restaurants']"
"D09yG6Z3gcsh24Qn7Y4gYA","Chico's Tacos","33.4657117","-112.0657286","['Mexican', 'Restaurants']"
"kaIue7GRCmkPzDeHDBTttQ","Phoenix Blue Fin","33.4640982988","-112.073569","['Sushi Bars', 'Japanese', 'Restaurants']"
"j8nyAaN_w5t6wYv-ni23sg","Coach & Willies","33.443909","-112.070122","['Nightlife', 'Bars', 'American (New)', 'Sports Bars', 'Restaurants']"
"5XIvwfbIa-vuFEkkeCQ6kQ","Jackson's On 3rd","33.4450359","-112.0706266","['Bars', 'American (New)', 'Restaurants', 'Sports Bars', 'Nightlife']"
"VsO_rhXi5lgbaGxNwoEZsQ","Fate 905","33.4579128","-112.0686777","['Asian Fusion', 'Chinese', 'Restaurants']"
"Y293fHh5SZ0_9BZm4M6BCg","Matador Restaurant","33.4493093","-112.07194","['Greek', 'Mexican', 'Restaurants']"
"IceZ4BtTz76eppjNWm-c6A","Paisley Violin","33.4547647","-112.0865171","['Greek', 'Mediterranean', 'Restaurants']"
"QsvRjgQacMMFf8dit7qqDw","New Garden Restaurant","33.439268","-112.073481","['Chinese', 'Restaurants']"
"LXhL5X3edNRy7epku6UAEw","Paradise Bakery","33.4470733","-112.0709775","['Bakeries', 'Food', 'Breakfast & Brunch', 'Restaurants']"
"-lOSaCuBRAvX5JBifx-EMw","Mi Amigo's Mexican Grill","33.4521542","-112.0686202","['Mexican', 'Restaurants']"
"XI-_Y2XRw03mozGx0Z90Gw","Baja Fresh Mexican Grill","33.4487514","-112.0738147","['Mexican', 'Restaurants']"
"qsWxbgQwuomXvMseg23DGg","Hooters","33.4523351","-112.0696144","['Bars', 'American (Traditional)', 'Sports Bars', 'Nightlife', 'Chicken Wings', 'Restaurants']"
"DlCtdbceo4YNSI53cCL2lg","The Old Spaghetti Factory","33.46425","-112.074153","['Restaurants', 'Italian']"
"kR5i58Pcse1FD9tk-yYLlA","Crave Sandwich Cafe & Catering","33.450875","-112.066333","['Event Planning & Services', 'Caterers', 'Sandwiches', 'Restaurants']"
"2I666dqzs1XB6xigIKa9bA","Tom's Tavern & 1929 Grill","33.448424817","-112.074802052","['American (Traditional)', 'Restaurants']"
"yExYqENb4F6qH6kJxTOaSQ","Karim's Cobbler Shop & Deli","33.4458023","-112.0691069","['Delis', 'Restaurants']"
"9BH18avE46LlHMvJn67MaA","The Downtown Deli","33.4499524","-112.0740511","['Breakfast & Brunch', 'Delis', 'Sandwiches', 'Restaurants']"
"trAvQPp7gps0Btk-2AmLpw","Zoes Kitchen","33.465499","-112.081565","['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']"
"VCQ3VvnVRhibTT8J61xWkw","Jack in the Box","33.4372015","-112.0656044","['Fast Food', 'Restaurants']"
"s6zzKc7UvwDRxn-BFlhiTg","Subway","33.4521542","-112.0686202","['Fast Food', 'Sandwiches', 'Restaurants']"
"4WcxnNv_lzCIG2eb8O5Mlg","The Brickhouse","33.44455","-112.073577","['Arts & Entertainment', 'American (Traditional)', 'Nightlife', 'Music Venues', 'Restaurants']"
"gkv2XvXpFgiq4Bb2XK7YmQ","Hard Rock Café","33.4468850573","-112.071075886","['Arts & Entertainment', 'Music Venues', 'Burgers', 'Nightlife', 'American (New)', 'Restaurants']"
"If2DUhmWIvlu2JFc_rR-Bw","Papa Christo's","33.4484911","-112.0744277","['Italian', 'Pizza', 'Sandwiches', 'Restaurants']"
"xH5axHFadmc7Veutt376TA","McDonald's","33.4653345","-112.0655975","['Burgers', 'Fast Food', 'Restaurants']"
"Vvh2Hd4SsZjEEfKLNKAEWw","Subway","33.479418","-112.0732961","['Fast Food', 'Sandwiches', 'Restaurants']"
"sInUSy63Oh455uWs9p9OqQ","Central Cafe","33.4771144","-112.0744197","['Cafes', 'Restaurants']"
"x8WoC_7WHzXNmt6J13Nbvw","Jordan's Mexican Food","33.477594","-112.072914","['Mexican', 'Restaurants']"
"wki-Qlp3OWgH0XtZ-Jz_WQ","Duck & Decanter","33.4483756752","-112.072706876","['Delis', 'Sandwiches', 'Restaurants']"
"OoHWabV-ym7_HWlHeXTsVA","Best of Philly","33.4794824","-112.0740962","['Cheesesteaks', 'Sandwiches', 'Restaurants']"
"oSKT5oZX1NWYaHwOWL5lag","Ichi Ban Japanese Restaurant & Sushi","33.4794762","-112.0736809","['Sushi Bars', 'Japanese', 'Restaurants']"
"QAe9UHKsxPdXQovBpaznMQ","Schlotzskys Deli","33.476644","-112.0736968","['Delis', 'Fast Food', 'Sandwiches', 'Restaurants']"
"q1nDSpmV-FdTBNj6UuZvTg","Honey Bear's BBQ","33.4796505","-112.0742162","['Barbeque', 'Restaurants']"
"muCl5p-9ut1sY0aKeUeRhw","Cheuvront","33.4633319","-112.0741467","['Wine Bars', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']"
"oCA2OZcd_Jo_ggVmUx3WVw","Alice Cooper'stown","33.4448019849","-112.072117722","['Bars', 'Music Venues', 'Arts & Entertainment', 'Nightlife', 'Sports Bars', 'Barbeque', 'Restaurants']"
"eK6KGMKqU_4nB9RdayZD7Q","Tee Pee Tap Room","33.442472","-112.065825","['Mexican', 'Restaurants']"
"jn3OgTqiQIFymRA9U0PTfQ","Arizona Baseball Club Restaurant","33.4453626","-112.0674961","['American (New)', 'Restaurants']"
"1-1VcGTL3GyCqUpXZLFTZA","Friday's Front Row Sports Grill","33.4453626","-112.0674961","['American (Traditional)', 'Restaurants']"
"odhXwWaYZvD_icIN6f_DbA","Athenian Express","33.4575099","-112.0741235","['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']"
"avPNEqlXgyBvTXjb-ujQFA","Pizza Hut","33.4794961","-112.0469586","['Italian', 'Pizza', 'Chicken Wings', 'Restaurants']"
"ldIxXmxD3Cku0vODGYb9dQ","Subway","33.4794961","-112.0469586","['Fast Food', 'Sandwiches', 'Restaurants']"
"hWhVP-28LYP3llaMlAJ_JA","Rosita's Place","33.466086","-112.0323491","['Mexican', 'Restaurants']"
"ixTr1qXUFGTzyaZUuCDDvg","Whataburger","33.4654334","-112.063548","['Burgers', 'American (Traditional)', 'Fast Food', 'Restaurants']"
"ZoQAOnEFnyHjSpomtfqesA","That's A Wrap","33.4701393","-112.0654347","['Sandwiches', 'Restaurants']"
"apCfJVnRyaw6oVUBKujpUQ","La Tolteca Mexican Foods","33.45107","-112.055957","['Grocery', 'Mexican', 'Food', 'Ethnic Food', 'Specialty Food', 'Restaurants']"
"ykfTh6HI219NoMsWBxulxw","Gourmet House Of Hong Kong","33.466043","-112.05026","['Chinese', 'Restaurants']"
"McdTNj-TUMOlfkHwQWs4rg","Tacos Mexico","33.4737734","-112.04749","['Mexican', 'Restaurants']"
"tb24fvNJfHhyKEXkKn12Xw","Welcome Diner","33.4588421","-112.0609975","['Nightlife', 'Bars', 'American (Traditional)', 'Diners', 'Restaurants']"
"VXIkI9_EbDbYHeO9IzKjJg","Los Altos Ranch Market","33.4599088","-112.04608","['Food', 'Grocery', 'Mexican', 'Restaurants']"
"VKxn7zmp8nOYT-ZHFZTjgA","Mariscos Ensenada","33.470153","-112.0474211","['Seafood', 'Fish & Chips', 'Mexican', 'Restaurants']"
"rbiRLiFTG098z9JaK3Nshw","Guanaquito Restaurant","33.4659637","-112.0506694","['Latin American', 'Salvadoran', 'Restaurants']"
"cgNIBHS2mLdbTRiodAT6EQ","Tacos De Juarez","33.459347","-112.064755","['Mexican', 'Restaurants']"
"SZvYxcvYYVRue9MXcEDjsA","Coco's Family Restaurant","33.4708674","-112.0653819","['Bakeries', 'Food', 'American (Traditional)', 'Restaurants']"
"5-X03Zc0nN7U5eoe8uFUdw","Coronado Cafe","33.4713","-112.064761","['American (New)', 'Restaurants']"
"0De3TQ_uSOXwgduKL0va3w","Sonic Drive-In","33.4661987","-112.0632154","['Fast Food', 'Restaurants']"
"R6aazv8FB-6BeanY3ag8kw","MacAlpine's Soda Fountain","33.473125","-112.0650914","['American (Traditional)', 'Shopping', 'Comfort Food', 'Antiques', 'Restaurants']"
"Xo9Im4LmIhQrzJcO4R3ZbA","Rito's Market & Mexican Take Out","33.4579361","-112.0520629","['Mexican', 'Restaurants']"
"TNKr6FelsEqOHnatOgWhog","Wendy's","33.4660683","-112.0306582","['Burgers', 'Fast Food', 'Restaurants']"
"NYBx4sdSVrN-I5Q8RfLMPg","San Carlos Bay Seafood Restaurant","33.4655407","-112.0409279","['Seafood', 'Mexican', 'Restaurants']"
"Cp6JGY5YIRncTV_My9nf9g","Mariscos Playa Hermosa","33.4575264","-112.0472803","['Seafood', 'Mexican', 'Restaurants']"
"04HakCR6gEeRYNAoKxkppQ","Hacienda Restaurant","33.4660319","-112.0473925","['Mexican', 'Restaurants']"
"ITyAEjIw9ekv0wXpGHQF1Q","Subway","33.4658505","-111.9730379","['Fast Food', 'Sandwiches', 'Restaurants']"
"q2SZa5g85758iW1L9sSL1g","Eliana's Restaurant","33.4668576","-112.0298525","['Latin American', 'Salvadoran', 'Restaurants']"
"po5FyERB4lUZNnBIwnhFlg","Sonic Drive-In","33.4661343","-111.973718","['American (Traditional)', 'Fast Food', 'Restaurants']"
"I2IofjP2sHZUkv7pcoc33A","Burger King","33.466085","-112.013243","['Burgers', 'Restaurants']"
"_RBUU1y4yJrK0SPAd8z0-w","Indian Delhi Palace","33.4657562","-111.9718284","['Indian', 'Buffets', 'Event Planning & Services', 'Venues & Event Spaces', 'Restaurants']"
"WyJuGTwFwoN0k8iX8FsqYw","Jack-In-the Box Drive Thru","33.458744","-112.029827","['Fast Food', 'Restaurants']"
"PEHJjxdw11TGFma9Zhz3ng","Red Devil Italian Restaurant & Pizzeria","33.466124","-112.015464","['Restaurants', 'Italian']"
"zU8IfotOLryhaz5okWx6cA","Pete's Fish & Chips","33.4509955","-112.0013904","['Seafood', 'Fish & Chips', 'Restaurants']"
"h2ewvzx8enIwYhNbtIpcZw","Gateway Cafe","33.4528001","-111.9898455","['Sandwiches', 'Restaurants']"
"xfk9eY8gmwn8qsbyd-W6lQ","Honey Bear's BBQ","33.4514039","-111.973603","['Barbeque', 'Restaurants']"
